,,PV(W),PV(W),PV(W),Grid(W),Grid(W),Grid(W),Load(W),Load(W),Load(W)
6,4pm-6pm,0.1,0.2,0,0.5,2.9,0.1,0.7,3.1,0.3
6,6pm-8pm,0,0,0,0.9,3.6,0.4,0.9,3.6,0.4
6,8pm-11pm,0,0,0,1.2,2.8,0.6,1.2,2.8,0.6
7,11pm-6am,0,0,0,1.7,4.1,0.7,1.7,4.1,0.7
7,6am-11am,7.5,10.8,3,-1.8,3.5,-5.6,5.7,11.5,2.7
7,11am-2pm,7.5,9.4,2.6,-1.9,3.9,-7.2,5.6,8.9,0.6
7,2pm-4pm,1.2,2,0.2,-0.5,1.6,-1.8,0.8,3,0.4
7,4pm-6pm,0.1,0.3,0,0.6,2.6,0,0.7,3,0.2
7,6pm-8pm,0,0,0,1.2,4.7,0.2,1.2,4.7,0.2
7,8pm-11pm,0,0,0,1.4,4.4,0.4,1.4,4.4,0.4
8,11pm-6am,0,0,0,1.4,5,0.7,1.4,5,0.7
8,6am-11am,10,14.4,1.7,-4.6,6.2,-12.1,5.4,11.7,1.5
8,11am-2pm,8.6,11.6,2.7,-4.5,3.4,-10.4,4.1,9.9,0.4
8,2pm-4pm,1.7,2.3,1,-1,0.9,-2,0.7,2.5,0.2
8,4pm-6pm,0.2,0.7,0.1,0.2,1.1,-0.3,0.5,1.4,0.2
8,6pm-8pm,0,0,0,0.6,2.9,0.2,0.6,2.9,0.2
8,8pm-11pm,0,0,0,0.9,3.7,0.3,0.9,3.7,0.3
9,11pm-6am,0,0,0,1.4,2,0.7,1.4,2,0.7
9,6am-11am,13.9,17.8,3.2,-8,-1.1,-14,5.9,10,0.9
9,11am-2pm,10,12.6,2.2,-6.1,0.7,-11.4,3.7,8.2,0.6
9,2pm-4pm,2.2,3.1,1.1,-1.3,0.2,-2.5,0.9,2.6,0.2
9,4pm-6pm,0.4,0.8,0.1,0.2,1.1,-0.3,0.6,1.4,0.2
9,6pm-8pm,0,0,0,0.9,2.9,0.2,0.9,2.9,0.2
9,8pm-11pm,0,0,0,0.9,1.8,0.3,0.9,1.8,0.3
10,11pm-6am,0.1,0.1,0,1.4,2.3,1.2,1.5,2.3,1.2
10,6am-11am,14.7,20.1,1.1,-7.9,1.1,-16.6,6.8,10.4,1.1
10,11am-2pm,10.7,13.1,1,-6.3,0,-12.1,4.4,10.2,0.6
10,2pm-4pm,2.7,3.8,0.8,-1.1,0.5,-2.9,1.4,3.4,0.4
10,4pm-6pm,0.4,0.8,0,0.5,1.5,-0.4,0.9,1.8,0.4
10,6pm-8pm,0,0,0,1.2,3.3,0.4,1.2,3.3,0.4
10,8pm-11pm,0,0,0,1.1,2.4,0.6,1.1,2.4,0.6
11,11pm-6am,0.2,0.3,0,1.4,3,1.1,1.6,3.1,1.3
11,6am-11am,14.4,21.1,1.7,-8.6,0.6,-16.8,5.7,12.3,0.9
11,11am-2pm,10.1,13.8,2.7,-6.8,1.5,-12.8,3.4,10,0.6
11,2pm-4pm,3.1,4.6,0.1,-1.7,1.3,-3.6,1.4,4.2,0.4
11,4pm-6pm,0.7,1.4,0,0.4,1.6,-0.6,0.9,2.4,0.4
11,6pm-8pm,0,0.1,0,1.3,4.5,0.3,1.3,4.5,0.4
11,8pm-11pm,0,0,0,1.5,4,0.6,1.5,4,0.6
12,11pm-6am,0.2,0.3,0,1.4,2.8,0.9,1.6,3,1.2
12,6am-11am,16,21.7,3.6,-11.3,-0.7,-18.7,4.6,10.6,1.5
12,11am-2pm,11.1,14.4,3.9,-8.5,0.4,-13.5,2.7,8.9,0.5
12,2pm-4pm,4,5.9,1.7,-2.6,0.2,-4.9,1.4,4.7,0.2
12,4pm-6pm,0.9,1.8,0.5,-0.1,1.8,-1.3,0.8,2.8,0.4
12,6pm-8pm,0.1,0.1,0,0.8,4.2,0.3,0.8,4.3,0.4
12,8pm-11pm,0,0,0,1,4,0.6,1,4,0.6
